moy,dom,hod,Toutdoor,Qheat_profile,Q_dhw_profile,Q_house_profile
1.0,7.0,22.0,4.8,1.5722972836920845,1.505,3.0772972836920847
1.0,7.0,23.0,4.0,1.7090187866218312,0.0,1.7090187866218312
1.0,7.0,24.0,3.7,1.7602893502204862,0.0,1.7602893502204862
1.0,8.0,1.0,2.8,1.9141010410164507,0.0,1.9141010410164507
1.0,8.0,2.0,2.1,2.0337323560799794,0.0,2.0337323560799794
1.0,8.0,3.0,2.0,2.0508225439461976,0.0,2.0508225439461976
1.0,8.0,4.0,1.7,2.1020931075448526,0.0,2.1020931075448526
1.0,8.0,5.0,1.7,2.1020931075448526,0.0,2.1020931075448526
1.0,8.0,6.0,1.6,2.1191832954110708,0.0,2.1191832954110708
1.0,8.0,7.0,1.4,2.153363671143507,0.0,2.153363671143507
1.0,8.0,8.0,2.0,2.0508225439461976,1.6099999999999999,3.6608225439461974
1.0,8.0,9.0,2.9,1.8970108531502325,0.42,2.3170108531502325
1.0,8.0,10.0,4.5,1.6235678472907396,0.21,1.8335678472907395
1.0,8.0,11.0,4.3,1.6577482230231761,0.105,1.7627482230231761
1.0,8.0,12.0,4.8,1.5722972836920845,0.21,1.7822972836920845
1.0,8.0,13.0,5.4,1.4697561564947748,0.315,1.7847561564947747
1.0,8.0,14.0,5.4,1.4697561564947748,0.0,1.4697561564947748
1.0,8.0,15.0,5.4,1.4697561564947748,0.105,1.5747561564947747
1.0,8.0,16.0,5.2,1.5039365322272116,0.105,1.6089365322272116
1.0,8.0,17.0,5.4,1.4697561564947748,0.105,1.5747561564947747
1.0,8.0,18.0,5.3,1.486846344360993,0.0,1.486846344360993
1.0,8.0,19.0,5.0,1.5381169079596482,0.315,1.8531169079596481
1.0,8.0,20.0,5.2,1.5039365322272116,0.105,1.6089365322272116
1.0,8.0,21.0,5.4,1.4697561564947748,0.735,2.2047561564947746
1.0,8.0,22.0,5.5,1.4526659686285566,1.505,2.9576659686285565
1.0,8.0,23.0,4.9,1.5552070958258664,0.0,1.5552070958258664
1.0,8.0,24.0,4.5,1.6235678472907396,0.0,1.6235678472907396
1.0,9.0,1.0,4.8,1.5722972836920845,0.0,1.5722972836920845
1.0,9.0,2.0,5.0,1.5381169079596482,0.0,1.5381169079596482
1.0,9.0,3.0,4.1,1.691928598755613,0.0,1.691928598755613
1.0,9.0,4.0,3.2,1.8457402895515778,0.0,1.8457402895515778
1.0,9.0,5.0,3.9,1.7261089744880496,0.0,1.7261089744880496
1.0,9.0,6.0,2.7,1.9311912288826694,0.0,1.9311912288826694
1.0,9.0,7.0,2.1,2.0337323560799794,0.0,2.0337323560799794
1.0,9.0,8.0,2.4,1.9824617924813241,1.6099999999999999,3.5924617924813242
1.0,9.0,9.0,3.5,1.7944697259529228,0.42,2.214469725952923
1.0,9.0,10.0,4.8,1.5722972836920845,0.21,1.7822972836920845
1.0,9.0,11.0,4.7,1.5893874715583032,0.105,1.6943874715583032
1.0,9.0,12.0,5.1,1.5210267200934298,0.21,1.7310267200934297
1.0,9.0,13.0,5.1,1.5210267200934298,0.315,1.8360267200934297
1.0,9.0,14.0,5.5,1.4526659686285566,0.0,1.4526659686285566
1.0,9.0,15.0,5.1,1.5210267200934298,0.105,1.6260267200934297
1.0,9.0,16.0,4.5,1.6235678472907396,0.105,1.7285678472907395
1.0,9.0,17.0,4.2,1.6748384108893948,0.105,1.7798384108893948
1.0,9.0,18.0,4.3,1.6577482230231761,0.0,1.6577482230231761
1.0,9.0,19.0,4.2,1.6748384108893948,0.315,1.9898384108893947
1.0,9.0,20.0,4.2,1.6748384108893948,0.105,1.7798384108893948
1.0,9.0,21.0,4.2,1.6748384108893948,0.735,2.4098384108893947
1.0,9.0,22.0,4.2,1.6748384108893948,1.505,3.1798384108893947
1.0,9.0,23.0,2.7,1.9311912288826694,0.0,1.9311912288826694
1.0,9.0,24.0,1.2,2.187544046875944,0.0,2.187544046875944
1.0,10.0,1.0,0.8,2.255904798340817,0.0,2.255904798340817
1.0,10.0,2.0,1.3,2.1704538590097253,0.0,2.1704538590097253
1.0,10.0,3.0,1.1,2.204634234742162,0.0,2.204634234742162
1.0,10.0,4.0,0.6,2.290085174073254,0.0,2.290085174073254
1.0,10.0,5.0,1.0,2.2217244226083808,0.0,2.2217244226083808
1.0,10.0,6.0,0.8,2.255904798340817,0.0,2.255904798340817
1.0,10.0,7.0,1.0,2.2217244226083808,0.0,2.2217244226083808
1.0,10.0,8.0,1.1,2.204634234742162,1.6099999999999999,3.814634234742162
1.0,10.0,9.0,1.4,2.153363671143507,0.42,2.573363671143507
1.0,10.0,10.0,2.6,1.9482814167488876,0.21,2.1582814167488875
1.0,10.0,11.0,3.3,1.8286501016853594,0.105,1.9336501016853593
1.0,10.0,12.0,3.7,1.7602893502204862,0.21,1.9702893502204861
1.0,10.0,13.0,4.0,1.7090187866218312,0.315,2.024018786621831
1.0,10.0,14.0,3.8,1.7431991623542678,0.0,1.7431991623542678
1.0,10.0,15.0,3.2,1.8457402895515778,0.105,1.9507402895515777
1.0,10.0,16.0,2.8,1.9141010410164507,0.105,2.0191010410164507
